x0000,y0000,y_tun
0.000000758,1.48E-08,0.0148
0.000000759,1.47E-08,0.0147
0.00000076,1.46E-08,0.0146
0.000000761,1.45E-08,0.0145
0.000000762,1.45E-08,0.0145
0.000000763,1.44E-08,0.0144
0.000000764,1.43E-08,0.0143
0.000000765,1.42E-08,0.0142
0.000000766,1.41E-08,0.0141
0.000000767,0.000000014,0.014
0.000000768,1.39E-08,0.0139
0.000000769,1.39E-08,0.0139
0.00000077,1.38E-08,0.0138
0.000000771,1.37E-08,0.0137
0.000000772,1.36E-08,0.0136
0.000000773,1.35E-08,0.0135
0.000000774,1.35E-08,0.0135
0.000000775,1.34E-08,0.0134
0.000000776,1.33E-08,0.0133
0.000000777,1.32E-08,0.0132
0.000000778,1.31E-08,0.0131
0.000000779,1.31E-08,0.0131
0.00000078,0.000000013,0.013
0.000000781,1.29E-08,0.0129
0.000000782,1.28E-08,0.0128
